id	name	type	time_limit	score	passed_minimum	level	price	number_of_questions	quiz_session_number_of_user	quiz_session_avg_user_score
5	Use of English - Part 2	2	1800	10	5	8	5000	42	0	0
3	Use of English - Part 1	2	1800	10	5	8	5000	30	0	0
4	Level test	2	1800	10	5	8		99	0	0
6	Use of English – Part3	2	1800	10	5	8		66	0	0
7	READING COMPREHENSION TEST 1	2	1800	10	5	8	0	20	0	0
8	READING COMPREHENSION TEST 2	2	1800	10	5	8	0	22	0	0
9	READING COMPREHENSION TEST 3	2	1800	10	5	8	0	20	0	0
10	READING COMPREHENSION TEST 4	2	1800	10	5	8	0	20	0	0
11	READING COMPREHENSION TEST 5	2	1800	10	5	8	0	20	0	0
12	READING COMPREHENSION TEST 6	2	1800	10	5	8	0	20	0	0
16	TOEIC READING - NEW FORMAT - TEST 1	2	1800	10	5	8	0	100	0	0
17	TOEIC READING - NEW FORMAT - TEST 2	2	1800	10	5	8	0	100	0	0
18	TOEIC READING - NEW FORMAT - TEST 3	2	1800	10	5	8	0	100	0	0
32	READING COMPREHENSION TEST 7	2	1800	10	5	8	0	20	0	0
13	READING COMPREHENSION TEST 8	2	1800	10	5	8	0	20	0	0
14	READING COMPREHENSION TEST 9	2	1800	10	5	8	0	20	0	0
15	READING COMPREHENSION TEST 10	2	1800	10	5	8	0	20	0	0
35	GRAMMAR QUIZ - 1. Speaking already	2	1800	10	5	8	0	10	0	0
36	GRAMMAR QUIZ - 2. Drive carefully	2	1800	10	5	8	0	10	0	0
37	GRAMMAR QUIZ - 3. Listen v. Hear	2	1800	10	5	8	0	10	0	0
38	GRAMMAR QUIZ - 4. Finish v. End	2	1800	10	5	8	0	10	0	0
39	GRAMMAR QUIZ - 5. Start v. Begin	2	1800	10	5	8	0	10	0	0
40	GRAMMAR QUIZ - 6. Modal Verbs	2	1800	10	5	8	0	10	0	0
41	GRAMMAR QUIZ - 7. How to use the articles	2	1800	10	5	8	0	10	0	0
42	GRAMMAR QUIZ - 8. Relative Pronouns	2	1800	10	5	8	0	10	0	0
43	GRAMMAR QUIZ - 9. Present Tense	2	1800	10	5	8	0	10	0	0
44	GRAMMAR QUIZ - 10. Conditionals	2	1800	10	5	8	0	10	0	0
33	TOEIC READING - NEW FORMAT - TEST 4	2	1800	10	5	8	5000	100	0	0
34	TOEIC READING - NEW FORMAT - TEST 5	2	1800	10	5	8	5000	100	0	0
