id,is_acvite,name,description,tags,packages,number_of_units,created_time,updated_time
2,1,DAILY CONVERSATION - INTERMEDIATE,Giao tiếp hàng ngày - Trình độ Trung cấp,,,93,34:22.0,
3,1,DAILY CONVERSATION - ADVANCED,Tiếng Anh giao tiếp - Trình độ Nâng cao,,,22,34:26.0,
4,1,BUSINESS ENGLISH BASIC,Tiếng Anh kinh doanh - Trình độ cơ bản,,,30,34:57.0,
5,1,OXFORD PHONICS WORLD,Học tiếng Anh theo phương pháp đánh vần. Dành cho trẻ em từ 5-7 tuổi.,,,71,35:26.0,
6,1,LEARN ENGLISH THROUGH NEWS ARTICLES,Học tiếng Anh qua nội dung báo chí cập nhật,,,30,35:07.0,
7,1,PRONUNCIATION BASIC,Học phát âm cơ bản,,,24,34:45.0,
8,1,FAMILY AND FRIENDS 5,Giáo trình tiếng Anh Trẻ em chuẩn mực của Đại học Oxford (UK). Dành cho trẻ em 6-12 tuổi. Cấp độ 5,,,27,35:22.0,1.66617E+12
9,1,DAILY CONVERSATION - ELEMENTARY,Daily conversation with interesting topics,,,62,35:17.0,
12,1,BUỔI HỌC TRẢI NGHIỆM,Buổi học trải nghiệm hệ thống của iSpeak,,,0,35:04.0,
13,1,SIDE BY SIDE 4,Giáo trình tiếng Anh giao tiếp dành cho trẻ em từ 10-14 tuổi. Cấp độ 4,,,38,35:26.0,
14,1,LET'S GO 1,Dành cho trẻ em 5-8 tuổi (Mẫu giáo lớn và các lớp đầu tiểu học),,,20,35:03.0,
25,1,FREE TALK,Thảo luận tự do với giáo viên - Chủ đề tự chọn,,,1,35:07.0,
26,1,IELTS SPEAKING,Luyện thi IELTS Speaking,,,169,34:35.0,
27,1,BUSINESS ENGLISH - MARKET LEADER - ELEMENTARY,Tiếng Anh kinh doanh - Market Leader - Trình độ Sơ cấp,,,19,35:08.0,
28,1,BUSINESS ENGLISH - MARKET LEADER - INTERMEDIATE,Tiếng Anh kinh doanh - Market Leader - Trình độ Trung cấp,,,19,34:34.0,
29,1,SCIENCE - GRADE 1,Khoa học - Giáo trình chuẩn Hoa Kỳ - Lớp 1,,,31,34:42.0,
30,1,BUSINESS ENGLISH - MARKET LEADER - UPPER INTERMEDIATE,Tiếng Anh kinh doanh - Market Leader - Trình độ Nâng cao,,,18,35:57.0,
31,1,BUSINESS ENGLISH - MARKET LEADER - PRE-INTERMEDIATE,Tiếng Anh kinh doanh - Market Leader - Trình độ trước Trung cấp,,,19,34:58.0,
32,1,BUSINESS ENGLISH - MARKET LEADER - ADVANCED,Tiếng Anh thương mại - Market Leader - Trình độ Cao cấp,,,20,35:17.0,
33,1,SCIENCE - GRADE 2,Khoa học - Giáo trình chuẩn Hoa Kỳ - Lớp 2,,,37,35:17.0,
34,1,SCIENCE - GRADE 3,Khoa học - Giáo trình chuẩn Hoa Kỳ - Lớp 3,,,41,35:26.0,
35,1,SCIENCE - GRADE 4,Khoa học - Giáo trình chuẩn Hoa Kỳ - Lớp 4,,,41,35:35.0,
